"","clseusa_f","ambornin_f","amcit_f","amlived_f","amenglsh_f","amchrstn_f","amgovt_f","amfeel_f","amcitizn_f","amshamed_f","belikeus_f","ambetter_f","ifwrong_f","proudsss_f","proudgrp_f","proudpol_f","prouddem_f","proudeco_f","proudspt_f","proudart_f","proudhis_f","proudmil_f","proudsci_f","clseusa_n","ambornin_n","amcit_n","amlived_n","amenglsh_n","amchrstn_n","amgovt_n","amfeel_n","amcitizn_n","amshamed_n","belikeus_n","ambetter_n","ifwrong_n","proudsss_n","proudgrp_n","proudpol_n","prouddem_n","proudeco_n","proudspt_n","proudart_n","proudhis_n","proudmil_n","proudsci_n","sex_f","age_f","race_f","educ_f","born_usa_f","realinc2004_f","party_f","religstr_f","reltrad_f","region_f","age_n","educ_n","realinc2004_n","lnrealinc2004_n","wgt","id"
"209","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly",4,4,4,4,4,4,3,3,4,2,3,4,2,3,3,3,2,3,3,3,2,2,3,"F","55-70 yo","Black","< High school","Born in this country","< 10k","Democrat","Strong","Mainline Protestant","South",63,10,2077.072,7.63871448865804,0.49,499
"210","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Not very much","Somewhat / fairly",4,4,4,4,4,4,3,3,3,3,4,4,3,4,3,3,3,4,3,4,4,2,3,"F","< 25 yo","Black","High school or some college","Not born in this country","< 10k","Democrat","Strong","Evangelical Protestant","South",21,12,2077.072,7.63871448865804,0.49,501
"211","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Very much","Very much","Very much","Very much","Somewhat / fairly",3,4,3,4,4,4,4,3,3,4,4,4,4,2,3,3,4,2,4,4,4,4,3,"M","< 25 yo","Black","< High school","Born in this country","< 10k","Independent","Strong","Mainline Protestant","Midwest",19,11,4673.412,8.44964470487437,1.23,512
"212","Not very much","Somewhat / fairly","Very much","Not very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Not very much","Not very much","Not very much","Not very much","Not at all","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Not at all","Somewhat / fairly","Not very much",2,3,4,2,4,3,4,3,4,4,2,2,2,2,1,3,3,2,2,3,1,3,2,"F","25-40 yo","Black","High school or some college","Born in this country","< 10k","Strong Democrat","Strong","Catholic","Midwest",33,14,11683.53,9.36593543674853,0.62,515
"213","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Not very much",3,4,4,4,4,3,3,3,4,4,4,4,4,2,3,3,3,3,2,3,4,4,2,"F","40-55 yo","Black","High school or some college","Born in this country","< 10k","Democrat","Not strong","Black Protestant","Midwest",40,12,16876.21,9.73366021687385,1.23,516
"214","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",2,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,"F","< 25 yo","Black","High school or some college","Born in this country","> 30k","Democrat","Strong","Evangelical Protestant","Midwest",24,15,103853.6,11.5507374940862,1.85,523
"215","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,"F","40-55 yo","White","Advanced degree","Born in this country","> 30k","Republican","Not strong","Jewish","Midwest",47,18,70101.18,11.1576949059766,1.23,525
"216","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Not at all","Not very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly",4,3,3,4,4,4,4,4,4,1,2,4,2,3,4,3,3,3,3,4,4,4,3,"F","40-55 yo","White","High school or some college","Born in this country","> 30k","Independent","Not strong","Catholic","Midwest",40,14,70101.18,11.1576949059766,1.85,530
"217","Somewhat / fairly","Not very much","Very much","Not very much","Somewhat / fairly","Not at all","Somewhat / fairly","Not very much","Not very much","Very much","Not at all","Not very much","Not at all","Somewhat / fairly","Not at all","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much",3,2,4,2,3,1,3,2,2,4,1,2,1,3,1,3,3,2,3,4,3,3,4,"M","40-55 yo","White","Advanced degree","Born in this country","> 30k","Strong Democrat","Strong","Catholic","Midwest",47,18,70101.18,11.1576949059766,0.62,534
"218","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,2,3,3,2,4,4,4,3,4,4,4,4,4,4,"F","25-40 yo","White","High school or some college","Born in this country","> 30k","Independent","Not strong","Black Protestant","South",31,12,103853.6,11.5507374940862,0.76,544
"219","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Not very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",3,3,4,3,4,3,4,4,4,2,2,3,2,3,4,3,3,4,4,4,4,4,4,"M","25-40 yo","Hispanic","Advanced degree","Born in this country","> 30k","Republican","Strong","Evangelical Protestant","South",25,17,70101.18,11.1576949059766,0.76,546
"220","Somewhat / fairly","Not very much","Very much","Very much","Very much","Not at all","Very much","Very much","Very much","Not at all","Somewhat / fairly","Very much","Very much","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",3,2,4,4,4,1,4,4,4,1,3,4,4,2,3,4,4,3,3,3,3,4,3,"M","40-55 yo","White","Bachelor","Not born in this country","> 30k","Strong Republican","Strong","No religion","South",49,16,103853.6,11.5507374940862,0.76,552
"221","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Not very much","Very much","Not at all","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,2,4,2,4,1,4,4,3,3,3,4,4,4,4,4,4,4,4,"M","25-40 yo","White","High school or some college","Born in this country","> 30k","Republican","Strong","Other religion","South",34,15,103853.6,11.5507374940862,1.52,554
"222","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Very much","Somewhat / fairly",4,4,4,3,3,4,3,4,4,3,3,3,2,3,2,3,3,3,2,4,4,4,3,"M","25-40 yo","Hispanic","Bachelor","Born in this country","20-30k","Strong Democrat","Strong","No religion","South",31,16,46734.12,10.7522297978684,0.76,555
"223","Very much","Not very much","Very much","Not at all","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly",4,2,4,1,4,4,4,3,4,3,2,3,3,2,4,3,4,3,2,3,4,4,3,"F","40-55 yo","White","High school or some college","Born in this country","> 30k","Strong Republican","Strong","Evangelical Protestant","South",45,14,70101.18,11.1576949059766,0.76,556
"224","Somewhat / fairly","Not very much","Very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",3,2,4,2,3,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,"F","25-40 yo","Black","High school or some college","Not born in this country","> 30k","Democrat","Not strong","Evangelical Protestant","South",30,15,57119.48,10.9529004933306,0.76,560
"225","Somewhat / fairly","Very much","Very much","Very much","Very much","Not very much","Very much","Very much","Very much","Not at all","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",3,4,4,4,4,2,4,4,4,1,4,4,3,3,4,4,3,4,4,4,4,4,4,"M","25-40 yo","White","Bachelor","Born in this country","> 30k","Republican","Strong","Evangelical Protestant","South",33,16,85679.22,11.3583656014387,0.76,563
"226","Very much","Very much","Very much","Very much","Very much","Not very much","Not very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Not at all","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly",4,4,4,4,4,2,2,4,4,3,4,4,3,1,3,3,3,3,4,3,4,4,3,"M","25-40 yo","White","High school or some college","Born in this country","20-30k","Independent","Strong","No religion","South",31,12,46734.12,10.7522297978684,0.76,564
"227","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Very much","Not very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,3,4,4,4,4,4,4,"F","25-40 yo","Black","Bachelor","Not born in this country","20-30k","Independent","Not strong","Evangelical Protestant","South",30,16,38945.1,10.5699082410745,0.76,567
"228","Somewhat / fairly","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Very much","Not very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Not very much","Not at all","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",3,2,2,2,3,2,4,2,3,4,2,3,2,1,2,2,3,3,3,4,3,3,3,"M","40-55 yo","White","Advanced degree","Born in this country","> 30k","Strong Democrat","Not strong","Evangelical Protestant","South",50,20,70101.18,11.1576949059766,0.38,568
"229","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Not at all","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,3,4,3,4,4,4,4,4,1,2,3,2,3,4,4,4,4,4,4,4,4,4,"M","< 25 yo","White","Bachelor","Born in this country","> 30k","Strong Republican","Strong","Black Protestant","South",24,16,57119.48,10.9529004933306,0.76,569
"230","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,4,4,4,4,4,4,"M","40-55 yo","White","High school or some college","Born in this country","> 30k","Republican","Not strong","Evangelical Protestant","South",44,14,220907.52221336,12.3054994414014,1.52,572
"231","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly",4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,3,4,4,4,4,4,3,"F","25-40 yo","Hispanic","< High school","Born in this country","10-20k","Independent","Strong","Catholic","South",33,7,19472.55,9.87676106051452,0.76,577
"232","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Not very much","Not very much","Very much","Not very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much",4,4,4,4,4,4,4,4,3,2,2,4,2,4,3,4,4,4,4,4,3,4,4,"M","40-55 yo","Hispanic","< High school","Not born in this country","10-20k","Independent","Strong","No religion","South",45,11,28559.74,10.2597533127706,0.76,580
"233","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly",3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,2,3,3,3,2,3,"F","40-55 yo","Black","High school or some college","Born in this country","> 30k","Republican","Not strong","Evangelical Protestant","South",44,12,70101.18,11.1576949059766,0.76,587
"234","Not at all","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",1,4,4,3,4,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,4,4,3,"M","25-40 yo","White","High school or some college","Born in this country","10-20k","Democrat","Strong","No religion","South",28,12,28559.74,10.2597533127706,0.38,589
"235","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Not very much","Very much","Very much","Very much","Somewhat / fairly","Not very much","Very much","Very much",3,4,4,3,4,3,4,3,3,3,2,3,3,2,2,2,4,4,4,3,2,4,4,"M","25-40 yo","Hispanic","Bachelor","Not born in this country","< 10k","Independent","Not strong","Catholic","South",26,16,16876.21,9.73366021687385,0.49,593
"236","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Not very much","Very much","Very much","Not very much","Somewhat / fairly","Not at all","Very much","Very much","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Not very much","Somewhat / fairly","Very much","Very much",2,3,3,4,4,2,4,4,2,3,1,4,3,2,4,3,3,3,1,2,3,4,4,"M","< 25 yo","White","Bachelor","Not born in this country","< 10k","Democrat","Strong","No religion","South",24,16,3634.876,8.19833027659347,0.49,595
"237","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much",3,2,3,3,3,2,4,3,4,4,3,3,2,3,4,3,4,4,3,2,4,3,4,"M","25-40 yo","White","Bachelor","Born in this country","> 30k","Republican","Not strong","Other religion","South",26,16,220907.52221336,12.3054994414014,2.96,598
"238","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Not at all","Somewhat / fairly","Somewhat / fairly","Not at all","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",2,3,3,4,4,4,3,3,4,3,4,4,4,3,1,3,3,1,4,3,3,4,3,"M","55-70 yo","Black","< High school","Born in this country","10-20k","Strong Democrat","Not strong","Evangelical Protestant","South",64,9,28559.74,10.2597533127706,0.49,599
"239","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Not very much","Very much","Very much",3,4,4,4,3,4,3,4,3,3,3,3,3,2,2,2,3,3,4,4,2,4,4,"F","55-70 yo","Black","Bachelor","Born in this country","> 30k","Strong Democrat","Not strong","Mainline Protestant","South",57,16,103853.6,11.5507374940862,0.99,603
"240","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",4,4,4,3,4,4,4,4,4,3,4,3,3,3,2,3,3,3,4,3,3,4,3,"F","55-70 yo","Black","Bachelor","Born in this country","> 30k","Republican","Not strong","Mainline Protestant","South",59,16,220907.52221336,12.3054994414014,0.99,604
"241","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Not very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much",3,4,4,4,4,3,4,4,4,2,2,3,2,3,4,4,4,4,4,3,4,4,4,"M","55-70 yo","White","High school or some college","Born in this country","20-30k","Strong Democrat","Strong","Evangelical Protestant","South",66,14,38945.1,10.5699082410745,0.99,608
"242","Very much","Not at all","Very much","Not very much","Very much","Not at all","Very much","Very much","Very much","Somewhat / fairly","Not very much","Very much","Not very much","Not at all","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,1,4,2,4,1,4,4,4,3,2,4,2,1,4,3,4,4,4,4,4,4,4,"M","25-40 yo","White","Bachelor","Born in this country","> 30k","Republican","Strong","Other religion","South",37,16,103853.6,11.5507374940862,0.99,615
"243","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not at all","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly",3,2,4,3,4,4,4,3,3,2,1,3,2,2,3,3,3,3,4,3,4,4,3,"F","40-55 yo","Black","High school or some college","Not born in this country","10-20k","Strong Democrat","Not strong","Evangelical Protestant","South",44,13,28559.74,10.2597533127706,0.99,617
"244","Very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Very much","Very much","Very much","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",4,2,3,2,3,2,4,4,4,2,4,3,3,3,4,3,4,4,3,3,4,4,4,"F","55-70 yo","White","High school or some college","Born in this country","> 30k","Republican","Strong","Black Protestant","South",58,12,220907.52221336,12.3054994414014,1.48,618
"245","Very much","Not at all","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much",4,1,4,3,4,3,4,4,4,2,3,3,3,2,3,3,2,4,4,4,4,3,4,"F","40-55 yo","Hispanic","High school or some college","Not born in this country","20-30k","Independent","Not strong","Catholic","South",48,12,46734.12,10.7522297978684,0.91,624
"246","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not at all","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",4,4,4,4,4,4,4,4,4,1,4,4,4,2,3,3,3,3,3,3,4,4,3,"F","40-55 yo","White","High school or some college","Born in this country","10-20k","Strong Republican","Not strong","Other religion","South",50,12,19472.55,9.87676106051452,0.91,627
"247","Somewhat / fairly","Not very much","Very much","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Not at all","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",3,2,4,2,4,4,4,4,4,4,3,3,2,1,3,3,3,3,3,3,4,4,3,"F","40-55 yo","White","Bachelor","Born in this country","> 30k","Strong Republican","Strong","Black Protestant","South",54,16,220907.52221336,12.3054994414014,1.83,629
"248","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Very much","Not very much","Not very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly",3,4,4,4,4,4,4,4,4,2,4,4,2,2,4,3,4,3,4,4,4,4,3,"F","25-40 yo","White","High school or some college","Born in this country","> 30k","Strong Republican","Strong","No religion","South",38,14,220907.52221336,12.3054994414014,0.91,631
"249","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much",3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,"F","40-55 yo","White","Bachelor","Not born in this country","> 30k","Strong Republican","Not strong","Catholic","South",45,16,103853.6,11.5507374940862,0.91,635
"250","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",3,4,4,4,4,4,4,4,4,3,3,3,2,2,4,3,3,3,3,3,4,4,4,"F","40-55 yo","Black","Advanced degree","Born in this country","> 30k","Republican","Strong","Evangelical Protestant","South",40,18,220907.52221336,12.3054994414014,0.91,639
"251","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Very much","Very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much",4,4,4,4,4,4,4,4,4,2,4,4,4,2,3,3,3,3,3,3,3,3,2,"F","40-55 yo","White","< High school","Born in this country","> 30k","Democrat","Strong","Catholic","South",53,10,85679.22,11.3583656014387,0.91,651
"252","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,3,3,3,3,2,4,3,4,4,4,4,4,4,4,"M","55-70 yo","Black","High school or some college","Born in this country","> 30k","Democrat","Not strong","Other religion","South",56,15,70101.18,11.1576949059766,1.83,653
"253","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,3,4,3,4,3,3,3,4,2,2,3,3,3,4,4,4,4,4,4,"F",">70 yo","White","High school or some college","Born in this country","< 10k","Strong Republican","Not strong","Black Protestant","South",74,12,14279.87,9.56660613221068,0.46,655
"254","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much",3,4,4,4,4,4,4,4,3,3,2,3,2,3,3,3,4,3,3,4,4,4,4,"F","40-55 yo","Black","High school or some college","Born in this country","10-20k","Strong Democrat","Not strong","Evangelical Protestant","South",52,13,19472.55,9.87676106051452,0.46,659
"255","Not very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly",2,4,4,4,4,4,3,3,4,3,3,4,2,3,3,3,3,3,3,3,3,4,3,"M","25-40 yo","Black","High school or some college","Born in this country","20-30k","Democrat","Strong","Mainline Protestant","South",36,14,46734.12,10.7522297978684,0.91,662
"256","Not at all","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much","Not very much","Somewhat / fairly","Not very much","Not at all","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much",1,4,4,4,4,4,4,4,4,2,2,3,2,1,2,3,3,4,2,3,3,4,4,"F","25-40 yo","Black","Bachelor","Born in this country","20-30k","Democrat","Not strong","Mainline Protestant","South",27,16,46734.12,10.7522297978684,0.46,664
"257","Somewhat / fairly","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",3,4,4,4,4,3,4,4,4,3,2,2,3,2,2,3,3,3,3,3,4,4,4,"M","< 25 yo","Hispanic","Advanced degree","Born in this country","> 30k","Independent","Strong","No religion","Northeast",24,17,103853.6,11.5507374940862,3.3,672
"258","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not at all","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,"M","40-55 yo","White","High school or some college","Born in this country","> 30k","Independent","Strong","Catholic","Northeast",48,12,70101.18,11.1576949059766,1.98,676
"259","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Very much","Very much","Very much","Not very much","Not very much","Very much","Not at all","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much",3,3,3,3,4,2,4,4,4,2,2,4,1,2,2,3,3,3,3,3,4,4,4,"M","40-55 yo","White","High school or some college","Born in this country","> 30k","Democrat","Strong","Catholic","Northeast",41,14,220907.52221336,12.3054994414014,1.32,678
