"","clseusa_f","clsetown_f","clsestat_f","clsenoam_f","ambornin_f","amcit_f","amlived_f","amenglsh_f","amchrstn_f","amgovt_f","amfeel_f","amancstr_f","amcitizn_f","amshamed_f","belikeus_f","ambetter_f","ifwrong_f","amsports_f","lessprd_f","proudsss_f","proudgrp_f","proudpol_f","prouddem_f","proudeco_f","proudspt_f","proudart_f","proudhis_f","proudmil_f","proudsci_f","clseusa_n","clsetown_n","clsestat_n","clsenoam_n","ambornin_n","amcit_n","amlived_n","amenglsh_n","amchrstn_n","amgovt_n","amfeel_n","amancstr_n","amcitizn_n","amshamed_n","belikeus_n","ambetter_n","ifwrong_n","amsports_n","lessprd_n","proudsss_n","proudgrp_n","proudpol_n","prouddem_n","proudeco_n","proudspt_n","proudart_n","proudhis_n","proudmil_n","proudsci_n","sex_f","age_f","race_f","educ_f","born_usa_f","realinc2004_f","party_f","religstr_f","reltrad_f","region_f","age_n","educ_n","realinc2004_n","lnrealinc2004_n","wgt","id"
"11","Not very much","Not very much","Not very much","Not very much","Not very much","Very much","Somewhat / fairly","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Can't choose","Somewhat / fairly","Somewhat / fairly","Not very much","Can't choose","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",-1,-1,-1,-1,-1,2,1,2,-1,-1,1,1,1,0,1,1,-1,0,1,-1,1,1,1,1,1,1,1,1,1,"M","25-40 yo","Other race","< High school","Not born in this country","20-30k","Democrat","Strong","No religion","Northeast",29,11,46734.12,10.7522297978684,1.98,20
"12","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Can't choose","Very much","Can't choose","Can't choose","Not very much","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Not very much","Very much","Somewhat / fairly",2,2,2,2,2,2,2,2,2,1,1,-1,2,1,0,2,0,0,-1,1,-1,2,1,2,1,2,-1,2,1,"F","55-70 yo","White","High school or some college","Born in this country","> 30k","Independent","Strong","Catholic","Northeast",67,14,70101.18,11.1576949059766,1.49,22
"13","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Not very much","Very much","Very much","Very much","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much",1,-1,1,2,-1,2,2,2,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,"M","55-70 yo","White","High school or some college","Not born in this country","< 10k","Democrat","Not strong","Other religion","Northeast",57,12,14279.87,9.56660613221068,0.99,23
"14","Not very much","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Can't choose","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly",-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,0,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,"F","55-70 yo","Other race","Bachelor","Not born in this country","> 30k","Democrat","Strong","Mainline Protestant","Northeast",55,16,103853.6,11.5507374940862,1.98,26
"15","Somewhat / fairly","Not at all","Somewhat / fairly","Not very much","Very much","Very much","Somewhat / fairly","Very much","Not at all","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Very much","Can't choose","Somewhat / fairly","Somewhat / fairly","Not very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly",1,-2,1,-1,2,2,1,2,-2,1,1,-1,2,1,2,2,0,1,1,-1,2,2,1,1,1,1,2,2,1,"F","25-40 yo","White","High school or some college","Born in this country","20-30k","Republican","Not strong","Jewish","Northeast",35,13,46734.12,10.7522297978684,0.99,27
"16","Very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not at all","Very much","Very much","Very much","Not very much","Very much","Very much","Not very much","Very much","Not very much","Not very much","Very much","Can't choose","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much",2,1,-1,1,-2,2,2,2,-1,2,2,-1,2,-1,-1,2,0,1,-1,1,1,1,2,2,2,1,1,2,2,"M",">70 yo","White","Bachelor","Born in this country","20-30k","Republican","Strong","Jewish","Northeast",73,16,38945.1,10.5699082410745,0.5,30
"17","Very much","Not very much","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Not very much","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Not very much",2,-1,-1,2,2,2,2,2,2,2,2,2,1,-1,2,-1,1,1,1,2,2,2,2,2,2,2,2,2,-1,"M","55-70 yo","Black","High school or some college","Born in this country","< 10k","Democrat","Not strong","Catholic","Northeast",68,12,9346.824,9.14279188543432,0.5,32
"18","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Not at all","Very much","Very much","Very much","Not at all","Very much","Very much","Not very much","Can't choose","Very much","Can't choose","Somewhat / fairly","Not very much","Can't choose","Very much","Very much","Not very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Very much",2,2,1,1,-2,2,2,2,-2,2,2,-1,0,2,0,1,-1,0,2,2,-1,2,2,2,1,2,2,2,2,"F","55-70 yo","White","Bachelor","Born in this country","> 30k","Democrat","Not strong","Jewish","Northeast",58,16,220907.52221336,12.3054994414014,0.99,36
"19","Not very much","Not very much","Not very much","Not at all","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Not at all","Very much","Somewhat / fairly","Not very much","Can't choose","Can't choose","Can't choose","Somewhat / fairly","Not very much","Can't choose","Can't choose","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",-1,-1,-1,-2,-1,1,-1,1,-2,2,1,-1,0,0,0,1,-1,0,0,-1,1,-1,1,1,-1,1,1,1,1,"M","55-70 yo","Other race","Bachelor","Born in this country","> 30k","Democrat","Strong","Other religion","Northeast",55,16,220907.52221336,12.3054994414014,0.99,46
"20","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Can't choose","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Can't choose","Can't choose","Can't choose","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Not very much","Somewhat / fairly","Very much",1,-1,1,1,2,2,1,2,0,-1,-1,1,1,1,0,0,0,1,-1,1,-1,-1,1,1,2,2,-1,1,2,"M","25-40 yo","White","Advanced degree","Born in this country","> 30k","Independent","Strong","No religion","Northeast",33,18,70101.18,11.1576949059766,0.5,48
